run_id,normalization,algorithm,alpha,machine_type,db_level,seed,n_sites,mean_site_auroc,std_site_auroc,min_site_auroc,max_site_auroc,mean_site_auprc,mean_site_pauc
p1_norm_central_clustered_fl_a0p05_fan_0dB_s0,central,clustered_fl,0.05,fan,0dB,0,9,0.6581635190952948,0.33086941216561366,0.0472927807486631,0.9846153846153848,0.8371958056775367,0.31147071684918193
p1_norm_central_clustered_fl_a0p05_fan_0dB_s1,central,clustered_fl,0.05,fan,0dB,1,10,0.7905027689308819,0.2417920158633477,0.3544572331302189,0.9966666666666668,0.8353275291878097,0.5350591520901292
p1_norm_central_clustered_fl_a0p05_fan_0dB_s2,central,clustered_fl,0.05,fan,0dB,2,10,0.7022404063613299,0.24794021197373758,0.2083498219232291,1.0,0.7709791930130908,0.3611485092251672
p1_norm_central_clustered_fl_a0p05_fan_0dB_s3,central,clustered_fl,0.05,fan,0dB,3,9,0.6095157832355957,0.3441740720937456,0.0534647550776583,0.8874205321403343,0.8460511554503126,0.32703542418610465
p1_norm_central_clustered_fl_a0p05_fan_0dB_s4,central,clustered_fl,0.05,fan,0dB,4,10,0.6113408541908044,0.25272835767205004,0.0098039215686274,0.8798679867986798,0.8548201019034147,0.27691873713680143
p1_norm_central_clustered_fl_a0p05_fan_6dB_s0,central,clustered_fl,0.05,fan,6dB,0,9,0.8002000005355002,0.2929385750656332,0.0970922459893048,0.9921042737185112,0.9174751171275131,0.594499285001256
p1_norm_central_clustered_fl_a0p05_fan_6dB_s1,central,clustered_fl,0.05,fan,6dB,1,10,0.8951422892818506,0.21341093805588726,0.3086436470322726,1.0,0.9149231074240284,0.7425041000516616
p1_norm_central_clustered_fl_a0p05_fan_6dB_s2,central,clustered_fl,0.05,fan,6dB,2,10,0.9263060842989583,0.08133980954825253,0.7946829999348407,1.0,0.9499024584429604,0.7318555870278627
p1_norm_central_clustered_fl_a0p05_fan_6dB_s3,central,clustered_fl,0.05,fan,6dB,3,9,0.7993644266022132,0.20263610072696284,0.4077060931899641,1.0,0.9196032562006944,0.5946343113267679
p1_norm_central_clustered_fl_a0p05_fan_6dB_s4,central,clustered_fl,0.05,fan,6dB,4,10,0.8500618186525255,0.2269724100202242,0.2696078431372549,1.0,0.961712677266364,0.7253683379744493
p1_norm_central_clustered_fl_a0p05_fan_m6dB_s0,central,clustered_fl,0.05,fan,-6dB,0,9,0.5227886814205296,0.2423985843133181,0.0253164556962025,0.7512820512820513,0.77315146385281,0.07526869293324029
p1_norm_central_clustered_fl_a0p05_fan_m6dB_s1,central,clustered_fl,0.05,fan,-6dB,1,10,0.5761992164370223,0.29302416963295763,0.0620155038759689,0.9655172413793104,0.7925787925642891,0.2712175132329055
