comparison,mode,algorithm,machine_type,n_pairs,delta_mean,delta_std,delta_sem,delta_ci95,cohen_dz,t_stat,p_value,p_holm
federated_train_minus_central,federated_train,clustered_fl,fan,45,-6.286223055045337e-05,0.004936406528552841,0.0007358760374945272,0.0014423170334892732,-0.012734411193010492,-0.08542502724301697,0.9323110305092619,1.0
federated_train_minus_central,federated_train,clustered_fl,slider,45,-0.0003213494139441275,0.0032664043478895415,0.0004869268109254591,0.0009543765494138998,-0.09838016966630442,-0.6599542410354585,0.5127232099762107,1.0
federated_train_minus_central,federated_train,clustered_fl,valve,45,0.0010817250411710036,0.004899783449406968,0.0007304165911934921,0.0014316165187392444,0.22076996919158282,1.4809699755087407,0.14574060921600468,1.0
federated_train_minus_central,federated_train,fedavg,fan,45,0.0004154076178991032,0.003316968562783791,0.0004944644790409557,0.0009691503789202731,0.12523712843104826,0.8401161974360866,0.4053852711814173,1.0
federated_train_minus_central,federated_train,fedavg,slider,45,-0.0004948041738461528,0.00484757876582071,0.000722634376443976,0.001416363377830193,-0.10207243610664281,-0.684722717290372,0.49711013742423327,1.0
federated_train_minus_central,federated_train,fedavg,valve,45,0.0008129258882624823,0.005390523047820009,0.0008035717312803259,0.0015750005933094387,0.1508064952233604,1.0116407243037935,0.31724087704896076,1.0
federated_train_minus_central,federated_train,personalized,fan,45,0.0009382605879461171,0.0026539724841860633,0.00039563085900360154,0.000775436483647059,0.3535306388957792,2.3715556220996805,0.0221548148538367,0.23055001142780682
federated_train_minus_central,federated_train,personalized,slider,45,0.0003429965382735434,0.0024952160349453498,0.00037196484484568616,0.0007290510958975449,0.13746166002057442,0.9221208483179086,0.3614944283148651,1.0
federated_train_minus_central,federated_train,personalized,valve,45,-0.0015170285489831544,0.006068206919233172,0.0009045948781959965,0.0017730059612641532,-0.2499961799547301,-1.6770253574821399,0.10062905558035964,0.9056615002232368
local_site_minus_central,local_site,clustered_fl,fan,45,0.0162130402875678,0.03155513746000738,0.004703962159995104,0.009219765833590403,0.513800337840899,3.446677446823823,0.0012601689468989322,0.02142287209728185
local_site_minus_central,local_site,clustered_fl,slider,45,0.008193652568671135,0.0172450392752991,0.0025707386729481663,0.005038647798978406,0.47513098914232677,3.187275569816871,0.0026433440365833784,0.039650160548750674
local_site_minus_central,local_site,clustered_fl,valve,45,0.0069760384290316,0.013219799184566245,0.0019706913083724275,0.003862554964409958,0.5276962480017044,3.539894046010196,0.0009594141613584995,0.01726945490445299
local_site_minus_central,local_site,fedavg,fan,45,0.016092012693958574,0.03423058156350421,0.005102793819023096,0.010001475885285268,0.47010631893895355,3.1535690573990904,0.002904449388245513,0.04056416684791586
local_site_minus_central,local_site,fedavg,slider,45,0.017331466939819663,0.0368569919233369,0.005494315959116134,0.010768859279867623,0.4702355248054257,3.1544357967006613,0.002897440489136847,0.04056416684791586
local_site_minus_central,local_site,fedavg,valve,45,0.005744969996509831,0.016093241848744423,0.0023990388501424612,0.004702116146279224,0.3569802809468154,2.3946965244721565,0.020959091947982438,0.23055001142780682
local_site_minus_central,local_site,personalized,fan,45,0.013976107175997692,0.03295617532433441,0.004912816553574195,0.009629120445005421,0.4240815883048758,2.8448257783673463,0.006720161297306952,0.08064193556768343
local_site_minus_central,local_site,personalized,slider,45,0.01507240679713352,0.030071999964222537,0.004482869075958189,0.00878642338887805,0.5012106549303527,3.3622232864143764,0.0016086851176055172,0.025738961881688276
local_site_minus_central,local_site,personalized,valve,45,0.0029895890595146276,0.013756845227192827,0.0020507494055964468,0.004019468834969036,0.21731647119247793,1.4578032066502666,0.15199586954877928,1.0
