algorithm,alpha,machine_type,db_level,seed,comparison,mode,central_auroc,mode_auroc,delta_auroc
clustered_fl,0.05,fan,-6dB,0,federated_train_minus_central,federated_train,0.5659533261845774,0.5706027753134741,0.004649449128896754
clustered_fl,0.05,fan,-6dB,0,local_site_minus_central,local_site,0.5659533261845774,0.6423905270536171,0.07643720086903971
clustered_fl,0.05,fan,-6dB,1,federated_train_minus_central,federated_train,0.6968725980974718,0.7022982309188777,0.005425632821405846
clustered_fl,0.05,fan,-6dB,1,local_site_minus_central,local_site,0.6968725980974718,0.7514722364039521,0.05459963830648029
clustered_fl,0.05,fan,-6dB,2,federated_train_minus_central,federated_train,0.6214201670565086,0.6247346283624051,0.003314461305896521
clustered_fl,0.05,fan,-6dB,2,local_site_minus_central,local_site,0.6214201670565086,0.731955255464091,0.11053508840758242
clustered_fl,0.05,fan,-6dB,3,federated_train_minus_central,federated_train,0.6442055060188772,0.6569893442287325,0.012783838209855292
clustered_fl,0.05,fan,-6dB,3,local_site_minus_central,local_site,0.6442055060188772,0.7534178467363202,0.10921234071744301
clustered_fl,0.05,fan,-6dB,4,federated_train_minus_central,federated_train,0.6227749525310224,0.6139253253085897,-0.008849627222432765
clustered_fl,0.05,fan,-6dB,4,local_site_minus_central,local_site,0.6227749525310224,0.674971857468053,0.05219690493703055
clustered_fl,0.05,fan,0dB,0,federated_train_minus_central,federated_train,0.7407899881966308,0.7437005815893536,0.0029105933927228156
clustered_fl,0.05,fan,0dB,0,local_site_minus_central,local_site,0.7407899881966308,0.7923930285571584,0.05160304036052765
clustered_fl,0.05,fan,0dB,1,federated_train_minus_central,federated_train,0.8026213938580058,0.8003593047752261,-0.0022620890827796947
clustered_fl,0.05,fan,0dB,1,local_site_minus_central,local_site,0.8026213938580058,0.8207731214642221,0.018151727606216306
clustered_fl,0.05,fan,0dB,2,federated_train_minus_central,federated_train,0.8620550094871774,0.8663933977305016,0.0043383882433242205
clustered_fl,0.05,fan,0dB,2,local_site_minus_central,local_site,0.8620550094871774,0.8618057281199697,-0.0002492813672076988
clustered_fl,0.05,fan,0dB,3,federated_train_minus_central,federated_train,0.7742355074529379,0.77160207207088,-0.002633435382057847
clustered_fl,0.05,fan,0dB,3,local_site_minus_central,local_site,0.7742355074529379,0.7768149827723234,0.0025794753193855158
clustered_fl,0.05,fan,0dB,4,federated_train_minus_central,federated_train,0.7840006809778836,0.7708029845395852,-0.013197696438298379
clustered_fl,0.05,fan,0dB,4,local_site_minus_central,local_site,0.7840006809778836,0.8387444229489658,0.05474374197108223
clustered_fl,0.05,fan,6dB,0,federated_train_minus_central,federated_train,0.9273968251130991,0.9295242034468768,0.0021273783337777408
clustered_fl,0.05,fan,6dB,0,local_site_minus_central,local_site,0.9273968251130991,0.9476790930976455,0.020282267984546465
clustered_fl,0.05,fan,6dB,1,federated_train_minus_central,federated_train,0.9460622084883559,0.9429492099404329,-0.0031129985479230182
clustered_fl,0.05,fan,6dB,1,local_site_minus_central,local_site,0.9460622084883559,0.9622488652513461,0.016186656762990248
clustered_fl,0.05,fan,6dB,2,federated_train_minus_central,federated_train,0.965144410865198,0.9647807691050974,-0.0003636417601006192
clustered_fl,0.05,fan,6dB,2,local_site_minus_central,local_site,0.965144410865198,0.9620509984806116,-0.0030934123845863803
clustered_fl,0.05,fan,6dB,3,federated_train_minus_central,federated_train,0.9574117304717809,0.9506077054364143,-0.00680402503536659
clustered_fl,0.05,fan,6dB,3,local_site_minus_central,local_site,0.9574117304717809,0.9039623689503293,-0.05344936152145152
clustered_fl,0.05,fan,6dB,4,federated_train_minus_central,federated_train,0.8566872891318902,0.8654352583308818,0.008747969198991568
clustered_fl,0.05,fan,6dB,4,local_site_minus_central,local_site,0.8566872891318902,0.9137605826569407,0.05707329352505053
clustered_fl,0.05,slider,-6dB,0,federated_train_minus_central,federated_train,0.848671083521145,0.8468665658147226,-0.001804517706422315
clustered_fl,0.05,slider,-6dB,0,local_site_minus_central,local_site,0.848671083521145,0.8759441125319033,0.027273029010758343
clustered_fl,0.05,slider,-6dB,1,federated_train_minus_central,federated_train,0.7480258971654125,0.7535012366810973,0.005475339515684796
clustered_fl,0.05,slider,-6dB,1,local_site_minus_central,local_site,0.7480258971654125,0.764821464665769,0.01679556750035649
clustered_fl,0.05,slider,-6dB,2,federated_train_minus_central,federated_train,0.7850220334424094,0.7868902052369385,0.0018681717945291387
clustered_fl,0.05,slider,-6dB,2,local_site_minus_central,local_site,0.7850220334424094,0.7851524140748207,0.00013038063241133102
clustered_fl,0.05,slider,-6dB,3,federated_train_minus_central,federated_train,0.7524463127935498,0.7499689313966641,-0.0024773813968856917
clustered_fl,0.05,slider,-6dB,3,local_site_minus_central,local_site,0.7524463127935498,0.695529166196613,-0.05691714659693681
clustered_fl,0.05,slider,-6dB,4,federated_train_minus_central,federated_train,0.764130236142254,0.7660593402514834,0.001929104109229418
clustered_fl,0.05,slider,-6dB,4,local_site_minus_central,local_site,0.764130236142254,0.7949287013467011,0.03079846520444718
clustered_fl,0.05,slider,0dB,0,federated_train_minus_central,federated_train,0.9148250140305025,0.9223474093700359,0.007522395339533361
clustered_fl,0.05,slider,0dB,0,local_site_minus_central,local_site,0.9148250140305025,0.9328469129364833,0.018021898905980716
clustered_fl,0.05,slider,0dB,1,federated_train_minus_central,federated_train,0.8685174254829789,0.867287540851755,-0.0012298846312239764
clustered_fl,0.05,slider,0dB,1,local_site_minus_central,local_site,0.8685174254829789,0.8961223796726825,0.027604954189703546
clustered_fl,0.05,slider,0dB,2,federated_train_minus_central,federated_train,0.8440510263946224,0.8450750299529451,0.0010240035583227725
clustered_fl,0.05,slider,0dB,2,local_site_minus_central,local_site,0.8440510263946224,0.8667962513823729,0.022745224987750556
